Name,Moves,Pushes,Treedepth,MarkReach calls,MarkReach cycles,Avg cycles/call,loops,Approx cycles/loop,Stones loops,Avg stones,unused,unused,unused,total time(s)
Puzzle_1,263,97,44,3423,1893885,553.282209,0,inf,0,0,1489.482031,84989,30.722352,0.024
Puzzle_2,540,131,76,11881,6447507,542.673765,0,inf,0,0,2030.332223,601699,35.457481,0.048
Puzzle_3,377,134,67,15372,8176137,531.885051,0,inf,0,0,1694.661296,762270,38.496537,0.058
Puzzle_4,927,355,185,67609,42739974,632.163972,0,inf,0,0,3016.134266,2911941,33.619392,0.223
Puzzle_5,422,143,69,36448,19551981,536.434948,0,inf,0,0,2184.527234,2271587,38.347731,0.139
Puzzle_6,346,110,60,7922,4330788,546.678617,0,inf,0,0,1556.279302,381345,32.276844,0.039
Puzzle_7,375,88,55,40809,23927064,586.318312,0,inf,0,0,1765.086843,957551,33.749612,0.111
Puzzle_8,782,230,139,246660,165373782,670.452372,0,inf,0,0,4230.396563,30815116,42.652094,1.740
Puzzle_9,632,243,87,887684,502165839,565.703380,0,inf,0,0,1885.874526,25756360,33.062456,1.684
Puzzle_10,1583,512,299,1455351,1546131942,1062.377352,0,inf,0,0,5962.622652,144382632,38.221705,9.004
Puzzle_12,935,224,109,668534,531165969,794.523493,0,inf,0,0,4255.204874,63472224,43.044780,2.669
Puzzle_17,552,213,78,102476,57189924,558.081151,0,inf,0,0,1594.323731,3800838,29.252326,0.144
Puzzle_21,644,149,97,412821,285234522,690.939952,0,inf,0,0,3764.258720,13333961,45.137078,0.922
Puzzle_33,733,174,121,479112,319989315,667.879984,0,inf,0,0,3263.009729,35447778,41.214534,2.200
Puzzle_38,396,89,67,305061,156223731,512.106533,0,inf,0,0,1725.251852,9431234,38.383386,0.477
Puzzle_43,610,146,115,379316,266677515,703.048421,0,inf,0,0,4093.721871,26594858,48.732406,1.486
Puzzle_45,865,300,161,297207,173832618,584.887361,0,inf,0,0,3385.379667,8766918,40.732287,0.780
Puzzle_49,683,128,86,659448,400345017,607.091108,0,inf,0,0,2446.136575,22403120,37.626932,1.278
Puzzle_51,413,118,86,24597,13492257,548.532626,0,inf,0,0,2905.108585,2262380,43.944265,0.137
Puzzle_53,1103,202,163,330643,289199664,874.658360,0,inf,0,0,5800.659933,11420422,45.684350,0.915
Puzzle_55,420,120,90,3836,3612552,941.749739,0,inf,0,0,4555.023862,554283,37.539216,0.122
Puzzle_56,801,207,156,40130,29940525,746.088338,0,inf,0,0,5334.131086,3242992,47.091135,0.306
Puzzle_57,720,225,177,117865,84450681,716.503466,0,inf,0,0,5678.548333,10579743,46.741277,0.638
Puzzle_58,830,199,119,122823,93007596,757.249017,0,inf,0,0,5568.129323,8233948,44.990958,0.626
Puzzle_59,997,230,179,685292,517765794,755.540403,0,inf,0,0,4525.247483,33752194,41.974406,3.078
Puzzle_60,523,152,127,72333,57750858,798.402638,0,inf,0,0,5058.816359,3983172,44.842826,0.262
Puzzle_61,923,263,187,133591,104684226,783.617354,0,inf,0,0,4556.364447,3896926,41.437163,0.483
Puzzle_62,725,245,129,147260,107765169,731.802044,0,inf,0,0,4610.456163,10177819,41.710920,0.492
Puzzle_63,1627,431,382,278176,225646989,811.166272,0,inf,0,0,6100.803828,43299673,46.086919,1.628
Puzzle_64,716,137,153,437395,293854254,671.828105,0,inf,0,0,3770.244005,26384852,40.080984,1.592
Puzzle_65,721,211,122,18520,11825031,638.500594,0,inf,0,0,3819.144801,1427847,39.123681,0.184
Puzzle_68,1304,341,217,599397,513055062,855.952002,0,inf,0,0,4400.527172,80022813,37.902429,2.675
Puzzle_70,1127,333,250,128986,139844412,1084.182873,0,inf,0,0,4394.479512,10380755,37.285590,0.541
Puzzle_72,943,296,104,25783,24869280,964.561145,0,inf,0,0,3730.903859,2382004,35.841364,0.276
Puzzle_73,1452,441,187,90757,80384220,885.708210,0,inf,0,0,4775.895082,10007236,37.786285,0.390
Puzzle_78,492,136,58,14700,9940782,676.243673,0,inf,0,0,2893.120447,650854,36.978906,0.059
Puzzle_79,562,174,92,80144,56390550,703.615367,0,inf,0,0,3669.527608,1869652,40.521480,0.139
Puzzle_80,637,231,78,42795,26384262,616.526744,0,inf,0,0,2855.578895,3211773,31.999503,0.168
Puzzle_81,815,173,128,82292,58513104,711.042434,0,inf,0,0,3688.434248,5218611,40.325599,0.249
Puzzle_82,406,143,70,18740,10008228,534.056990,0,inf,0,0,2482.449886,714266,38.178651,0.092
Puzzle_83,507,194,74,10683,8618604,806.758776,0,inf,0,0,2460.942448,870179,30.220944,0.066
Puzzle_84,509,157,88,10635,6454284,606.890832,0,inf,0,0,3275.623716,1029108,37.177133,0.107
